Party Name,Seats Won,Leading/Trailing,Total Seats,Seat Range
Bharatiya Janata Party - BJP,240,0,240,100+
Indian National Congress - INC,99,0,99,51-100
Samajwadi Party - SP,37,0,37,21-50
All India Trinamool Congress - AITC,29,0,29,21-50
Dravida Munnetra Kazhagam - DMK,22,0,22,21-50
Telugu Desam - TDP,16,0,16,11-20
Janata Dal  (United) - JD(U),12,0,12,11-20
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,0,9,6-10
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,0,8,6-10
Shiv Sena - SHS,7,0,7,6-10
Lok Janshakti Party(Ram Vilas) - LJPRV,5,0,5,0-5
Yuvajana Sramika Rythu Congress Party - YSRCP,4,0,4,0-5
Rashtriya Janata Dal - RJD,4,0,4,0-5
Communist Party of India  (Marxist) - CPI(M),4,0,4,0-5
Indian Union Muslim League - IUML,3,0,3,0-5
Aam Aadmi Party - AAAP,3,0,3,0-5
Jharkhand Mukti Morcha - JMM,3,0,3,0-5
Janasena Party - JnP,2,0,2,0-5
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,0,2,0-5
Janata Dal  (Secular) - JD(S),2,0,2,0-5
Viduthalai Chiruthaigal Katchi - VCK,2,0,2,0-5
Communist Party of India - CPI,2,0,2,0-5
Rashtriya Lok Dal - RLD,2,0,2,0-5
Jammu & Kashmir National Conference - JKN,2,0,2,0-5
"United People’s Party, Liberal - UPPL",1,0,1,0-5
Asom Gana Parishad - AGP,1,0,1,0-5
Hindustani Awam Morcha (Secular) - HAMS,1,0,1,0-5
Kerala Congress - KEC,1,0,1,0-5
Revolutionary Socialist Party - RSP,1,0,1,0-5
Nationalist Congress Party - NCP,1,0,1,0-5
Voice of the People Party - VOTPP,1,0,1,0-5
Zoram People’s Movement - ZPM,1,0,1,0-5
Shiromani Akali Dal - SAD,1,0,1,0-5
Rashtriya Loktantrik Party - RLTP,1,0,1,0-5
Bharat Adivasi Party - BHRTADVSIP,1,0,1,0-5
Sikkim Krantikari Morcha - SKM,1,0,1,0-5
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,0,1,0-5
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,0,1,0-5
Apna Dal (Soneylal) - ADAL,1,0,1,0-5
AJSU Party - AJSUP,1,0,1,0-5
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,0,1,0-5
Independent - IND,7,0,7,6-10
